Year,Month,Day,sales
2017,8,16,8.0
2017,8,16,0.23076923076923078
2017,8,16,17.8
2017,8,16,2840.0
2017,8,16,0.0
2017,8,16,2226.584
2017,8,16,14.76923076923077
2017,8,16,1146.0
2017,8,16,751.0
2017,8,16,1438.556
2017,8,16,112.25
2017,8,16,22.0
2017,8,16,12453.0
2017,8,16,20.555555555555557
2017,8,16,1.3846153846153846
2017,8,16,86.0
2017,8,16,119.0
2017,8,16,0.23076923076923078
2017,8,16,205.5
2017,8,16,11.0
2017,8,16,78.0
2017,8,16,12.0
2017,8,16,338.0
2017,8,16,9.846153846153847
2017,8,16,683.9223076923079
2017,8,16,675.5
2017,8,16,11.461538461538462
2017,8,16,17.153846153846153
2017,8,16,426.89312499999994
2017,8,16,122.81107646153845
2017,8,16,11827.345
2017,8,16,575.0
2017,8,16,36.61892303846154
2017,8,17,7.461538461538462
2017,8,17,0.15384615384615385
2017,8,17,10.857142857142858
2017,8,17,1267.0
2017,8,17,0.0
2017,8,17,769.871
2017,8,17,17.833333333333332
2017,8,17,169.0
2017,8,17,234.0
2017,8,17,436.614
2017,8,17,235.22222222222223
2017,8,17,52.97025
2017,8,17,3735.0
2017,8,17,32.07692307692308
2017,8,17,1.3846153846153846
2017,8,17,15.0
2017,8,17,29.0
2017,8,17,0.23076923076923078
2017,8,17,448.0
2017,8,17,11.0
2017,8,17,17.833333333333332
2017,8,17,2.2
2017,8,17,89.0
2017,8,17,8.76923076923077
2017,8,17,530.6423046153845
2017,8,17,525.3333333333334
2017,8,17,11.461538461538462
2017,8,17,16.53846153846154
2017,8,17,924.6186666666666
2017,8,17,122.81107646153845
2017,8,17,2031.764
2017,8,17,0.6
2017,8,17,36.61892303846154
2017,8,18,7.461538461538462
2017,8,18,0.15384615384615385
2017,8,18,12.5
2017,8,18,801.0
2017,8,18,0.0
2017,8,18,650.7043333333334
2017,8,18,14.909090909090908
2017,8,18,169.0
2017,8,18,773.0
2017,8,18,154.218
2017,8,18,92.0
2017,8,18,49.0
2017,8,18,2407.0
2017,8,18,35.53846153846154
2017,8,18,1.0
2017,8,18,28.5
2017,8,18,23.6
2017,8,18,0.23076923076923078
2017,8,18,315.0
2017,8,18,13.875
2017,8,18,2.0
2017,8,18,5.333333333333333
2017,8,18,260.0
2017,8,18,8.615384615384615
2017,8,18,1233.943
2017,8,18,241.0
2017,8,18,10.23076923076923
2017,8,18,32.0
2017,8,18,452.253
2017,8,18,138.94600018181816
2017,8,18,224.769
2017,8,18,0.6
2017,8,18,97.24083333333333
2017,8,19,7.166666666666667
2017,8,19,0.15384615384615385
2017,8,19,10.857142857142858
2017,8,19,4495.0
2017,8,19,0.0
2017,8,19,606.0
2017,8,19,20.75
2017,8,19,571.0
2017,8,19,1184.5
2017,8,19,134.557
2017,8,19,235.22222222222223
2017,8,19,38.5
2017,8,19,3735.0
2017,8,19,32.07692307692308
2017,8,19,1.0769230769230769
2017,8,19,68.5
2017,8,19,12.833333333333334
2017,8,19,0.23076923076923078
2017,8,19,448.0
2017,8,19,11.0
2017,8,19,2.75
2017,8,19,2.2
2017,8,19,154.0
2017,8,19,12.307692307692308
2017,8,19,428.74400083333336
2017,8,19,283.0
2017,8,19,10.615384615384615
2017,8,19,32.0
2017,8,19,0.0
2017,8,19,122.81107646153845
2017,8,19,2031.764
2017,8,19,0.6
2017,8,19,36.61892303846154
2017,8,20,8.307692307692308
2017,8,20,0.07692307692307693
2017,8,20,10.857142857142858
2017,8,20,7639.0
2017,8,20,0.0
2017,8,20,78.0
2017,8,20,14.4
2017,8,20,169.0
2017,8,20,708.0
2017,8,20,134.557
2017,8,20,220.22222222222223
2017,8,20,38.5
2017,8,20,1270.0
2017,8,20,32.07692307692308
2017,8,20,1.9230769230769231
2017,8,20,13.0
2017,8,20,20.0
2017,8,20,0.23076923076923078
2017,8,20,171.5
2017,8,20,11.0
2017,8,20,2.75
2017,8,20,2.2
2017,8,20,113.75
2017,8,20,12.307692307692308
2017,8,20,474.63646492307697
2017,8,20,565.5
2017,8,20,9.461538461538462
2017,8,20,14.923076923076923
2017,8,20,654.5986184615386
2017,8,20,122.81107646153845
2017,8,20,635.809
2017,8,20,0.6
2017,8,20,36.61892303846154
2017,8,21,8.307692307692308
2017,8,21,0.38461538461538464
2017,8,21,10.857142857142858
2017,8,21,10671.0
2017,8,21,0.0
2017,8,21,650.7043333333334
2017,8,21,10.076923076923077
2017,8,21,730.0
2017,8,21,1184.5
2017,8,21,326.0
2017,8,21,220.22222222222223
2017,8,21,38.5
2017,8,21,1270.0
2017,8,21,32.07692307692308
2017,8,21,2.0
2017,8,21,13.0
2017,8,21,71.5
2017,8,21,0.23076923076923078
2017,8,21,341.3333333333333
2017,8,21,11.0
2017,8,21,2.75
2017,8,21,2.2
2017,8,21,89.0
2017,8,21,11.076923076923077
2017,8,21,474.63646492307697
2017,8,21,283.0
2017,8,21,9.461538461538462
2017,8,21,32.0
2017,8,21,391.513
2017,8,21,122.81107646153845
2017,8,21,492.258
2017,8,21,0.4
2017,8,21,36.61892303846154
2017,8,22,8.307692307692308
2017,8,22,0.38461538461538464
2017,8,22,6.384615384615385
2017,8,22,2564.0
2017,8,22,0.0
2017,8,22,78.0
2017,8,22,10.076923076923077
2017,8,22,1074.0
2017,8,22,650.0
2017,8,22,299.0
2017,8,22,220.22222222222223
2017,8,22,77.5
2017,8,22,1270.0
2017,8,22,35.53846153846154
2017,8,22,1.4615384615384615
2017,8,22,9.0
2017,8,22,18.0
2017,8,22,0.38461538461538464
2017,8,22,448.0
2017,8,22,13.875
2017,8,22,14.384615384615385
2017,8,22,5.333333333333333
2017,8,22,37.0
2017,8,22,12.23076923076923
2017,8,22,487.44553846153843
2017,8,22,530.0
2017,8,22,10.23076923076923
2017,8,22,14.0
2017,8,22,653.2001666666666
2017,8,22,138.94600018181816
2017,8,22,492.258
2017,8,22,0.4
2017,8,22,36.61892303846154
2017,8,23,8.307692307692308
2017,8,23,0.15384615384615385
2017,8,23,2.5
2017,8,23,2229.0
2017,8,23,0.0
2017,8,23,422.0
2017,8,23,14.461538461538462
2017,8,23,1074.0
2017,8,23,2003.0
2017,8,23,684.415
2017,8,23,200.11111111111111
2017,8,23,77.5
2017,8,23,6105.0
2017,8,23,35.53846153846154
2017,8,23,1.4615384615384615
2017,8,23,9.0
2017,8,23,18.0
2017,8,23,0.38461538461538464
2017,8,23,315.0
2017,8,23,13.875
2017,8,23,15.0
2017,8,23,5.333333333333333
2017,8,23,260.0
2017,8,23,12.23076923076923
2017,8,23,487.44553846153843
2017,8,23,490.3333333333333
2017,8,23,10.23076923076923
2017,8,23,14.923076923076923
2017,8,23,165.78949999999998
2017,8,23,138.94600018181816
2017,8,23,3226.913
2017,8,23,0.4
2017,8,23,8.991999999999999
2017,8,24,7.615384615384615
2017,8,24,0.07692307692307693
2017,8,24,7.538461538461538
2017,8,24,7476.0
2017,8,24,0.0
2017,8,24,150.586
2017,8,24,13.0
2017,8,24,1124.5
2017,8,24,208.0
2017,8,24,150.592
2017,8,24,220.22222222222223
2017,8,24,22.0
2017,8,24,3353.0
2017,8,24,30.428571428571427
2017,8,24,1.4615384615384615
2017,8,24,61.4
2017,8,24,18.0
2017,8,24,0.8461538461538461
2017,8,24,282.0
2017,8,24,11.0
2017,8,24,17.545454545454547
2017,8,24,2.2
2017,8,24,97.0
2017,8,24,8.615384615384615
2017,8,24,136.0437485
2017,8,24,366.0
2017,8,24,9.461538461538462
2017,8,24,13.5
2017,8,24,165.78949999999998
2017,8,24,122.81107646153845
2017,8,24,568.017
2017,8,24,0.8
2017,8,24,41.0125
2017,8,25,8.307692307692308
2017,8,25,0.15384615384615385
2017,8,25,6.384615384615385
2017,8,25,7501.0
2017,8,25,0.0
2017,8,25,1227.2956666666666
2017,8,25,14.384615384615385
2017,8,25,169.0
2017,8,25,234.0
2017,8,25,205.865
2017,8,25,66.0
2017,8,25,150.4453
2017,8,25,9978.0
2017,8,25,30.428571428571427
2017,8,25,1.4615384615384615
